العيار,سعر الشراء,سعر البيع,العملة,نسبة التغير,حالة التغير
عيار 24 ,5851.5,5880,ج.م,-5.75,هبوط
عيار 22 ,5363.75,5390,ج.م,-5.25,هبوط
عيار 21 ,5120,5145,ج.م,-5,هبوط
عيار 18 ,4388.5,4410,ج.م,-4.25,هبوط
عيار 14 ,3413.25,3430,ج.م,-3.25,هبوط
عيار 12 ,2925.75,2940,ج.م,-2.75,هبوط
عيار 9 ,2194.25,2205,ج.م,-2.25,هبوط
جنيه ذهب,40960,41160,ج.م,-40,هبوط
أوقية الذهب,3823.84,3824.13,$,-0.75,هبوط
عيار 999 ,73,77,ج.م,1.25,صعود
عيار 925 ,67.75,71.5,ج.م,1.25,صعود
عيار 900 ,65.75,69.5,ج.م,1,صعود
عيار 800 ,58.5,61.75,ج.م,1,صعود
عيار 600 ,44,46.25,ج.م,0.75,صعود
أوقية الفضة,46.816,46.845,$,-0.25,هبوط
,47.99,48.09,48.09,-0.01,هبوط
